XML Filename,id,Comment,English Value
InterSpec.xml,window-title-create-snapshot,,Create Snapshot
InterSpec.xml,window-title-energy-cal,,Energy Calibration
InterSpec.xml,window-title-hard-back-sub,,Perform Hard Background Subtract?
InterSpec.xml,window-title-3d,,3D Data View
InterSpec.xml,window-title-peak-rel-eff,,Isotopics from user-fit peaks
InterSpec.xml,window-title-compact-file,,Select Opened Spectra to Display
InterSpec.xml,window-title-feature-markers,,Feature Markers
InterSpec.xml,window-title-act-shield-fit,,Activity/Shielding Fit
InterSpec.xml,window-title-xs-calc,,Gamma XS Calc
InterSpec.xml,window-title-dose-calc,,Dose Calc
InterSpec.xml,window-title-1/r2-calc,,1/r<sup>2</sup> Calculator
InterSpec.xml,window-title-units-convert,,Units Converter
InterSpec.xml,window-title-flux-tool,,Flux Tool
InterSpec.xml,window-title-nuc-decay,,Nuclide Decay Information
InterSpec.xml,window-title-add-fwhm,,Add FWHM to Detector Response Function
InterSpec.xml,window-title-create-drf,,Create Detector Response Function
InterSpec.xml,window-title-file-parameters,,File Parameters
InterSpec.xml,window-title-energy-range-sum,,Energy Range Sum
InterSpec.xml,window-title-external-rid,,External RID
InterSpec.xml,window-title-license-credit,,"Disclaimers, Licenses, Credit, and Contact"
InterSpec.xml,window-title-help,,InterSpec Help
InterSpec.xml,,, The names of the tool-tabs at the bottom of the app 
InterSpec.xml,app-tab-peak-manager,,Peak Manager
InterSpec.xml,app-tab-ref-photopeak,,Reference Photopeaks
InterSpec.xml,app-tab-energy-cal,,Energy Calibration
InterSpec.xml,app-tab-nuc-search,,Nuclide Search
InterSpec.xml,app-tab-spec-files,,Spectrum Files
InterSpec.xml,app-tab-terminal,,Terminal
InterSpec.xml,app-tab-isotopics,,Isotopics
InterSpec.xml,app-tab-tt-ref-photopeak,,"Allows user to display reference photopeak lines from x-rays,
    gammas, or nuclear reactions.  
    <br />
    Nuclides ages, applied shielding, and detector efficiency used can be edited.
    <br />
    In the extended info menu, you can also show cascade decay sums, alpha energies, or beta endpoints.
    <br />
    You can also export a CSV file with the nuclide information as well.
  "
InterSpec.xml,app-tab-tt-peak-manager,,"Displays information of fit peaks in a editable and sortable table,
    allows exporting a CSV of peak information, as well as utilities for automated search for peaks, and adding and deleting peaks.
  "
InterSpec.xml,app-tab-tt-energy-cal,,"Allows user to modify or fit energy calibration terms and non-linear deviation pairs.
    <br />
    There are also options to linearize the spectrum, change the energy calibration type, truncate the energy range, or combine channels.
    <br />
    Energy calibration can also be done graphically by right-click dragging the spectrum from original to modified energy
    (e.g., drag the data peak to the appropriate reference line).
  "
InterSpec.xml,app-tab-tt-nuc-search,,"Search for nuclides with constraints on energy, branching ratio, and half life."
InterSpec.xml,app-tab-tt-auto-search,,Auto Peak Search
InterSpec.xml,app-tab-tt-terminal,,"Numeric, algebraic, and text-based spectrum interaction terminal."
InterSpec.xml,app-tab-tt-rel-eff,,"Relative Efficiency analysis, from peaks you have fit."
InterSpec.xml,,, App-level menu names 
InterSpec.xml,app-menu-file,,File
InterSpec.xml,app-menu-spectra,,Spectra
InterSpec.xml,app-menu-edit,,Edit
InterSpec.xml,app-menu-view,,View
InterSpec.xml,app-menu-help,,Help
InterSpec.xml,app-menu-tools,,Tools
InterSpec.xml,,," 
    Menu item text for the app-level menus.
    They are in the form of ""app-mi-{menu}-item-desc"", or for tool tips ""app-mi-tt-{menu}-item-desc""
  "
InterSpec.xml,app-mi-file-about,,About InterSpec
InterSpec.xml,app-mi-file-open,,Open File...
InterSpec.xml,app-mi-file-loaded-spec,,Loaded Spectra...
InterSpec.xml,app-mi-file-manager,,Manager...
InterSpec.xml,app-mi-tt-file-manager,,"Manage loaded spectra.  Sum spectra, combine spectra into different files, display, ..."
InterSpec.xml,app-mi-file-store,,Store
InterSpec.xml,app-mi-tt-file-store,,Saves the current app state to InterSpecs database
InterSpec.xml,app-mi-file-store-as,,Store As...
InterSpec.xml,app-mi-tt-file-store-as,,Saves the current app state to a new listing in InterSpecs database
InterSpec.xml,app-mi-file-tag,,Tag...
InterSpec.xml,app-mi-tt-file-tag,,"Tags the current Interspec state so you
   can revert to at a later time.  When loading an app state,
   you can choose either the most recent save, or select past tagged versions.
  "
InterSpec.xml,app-mi-file-prev,,Previous...
InterSpec.xml,app-mi-tt-file-prev,,Opens previously saved states or spectra.
InterSpec.xml,app-mi-file-clear,,Clear Session...
InterSpec.xml,app-mi-tt-file-clear,,Starts a clean application state with no spectra loaded
InterSpec.xml,app-mi-samples,,Samples
InterSpec.xml,app-mi-tt-file-open,,"Creates a dialog to browse for a spectrum file on your file system.
    Drag and drop the file directly into the app window as a quicker alternative.
  "
InterSpec.xml,app-mi-export-file,,Export File...
InterSpec.xml,app-mi-samples-ba133,,Ba-133 (16k channel)
InterSpec.xml,app-mi-samples-passthrough-mobile,,Passthrough (16k channel)
InterSpec.xml,app-mi-samples-passthrough,,"Passthrough (16k bin ICD1, 8 det., 133 samples)"
InterSpec.xml,app-mi-samples-background,,Background (16k bin N42)
InterSpec.xml,app-mi-samples-ba133-lowres,,"Ba-133 (Low Res, No Calib)"
InterSpec.xml,app-mi-samples-co60-lowres,,"Co-60 (Low Res, No Calib)"
InterSpec.xml,app-mi-samples-cs137-lowres,,"Cs-137 (Low Res, No Calib)"
InterSpec.xml,app-mi-samples-th232-lowres,,"Th-232 (Low Res, No Calib)"
InterSpec.xml,,," Items in the ""Edit"" menu "
InterSpec.xml,app-mi-edit-undo,,Undo
InterSpec.xml,app-mi-edit-redo,,Redo
InterSpec.xml,app-mi-edit-save-png,,Save Spectrum as PNG
InterSpec.xml,app-mi-edit-save-svg,,Save Spectrum as SVG
InterSpec.xml,app-mi-edit-enter-url,,Enter URL
InterSpec.xml,,," Items in the ""View"" menu "
InterSpec.xml,app-mi-view-show-tabs,,Show Tool Tabs
InterSpec.xml,app-mi-view-hide-tabs,,Hide Tool Tabs
InterSpec.xml,app-mi-view-chart-opts,,Chart Options
InterSpec.xml,app-mi-view-logy,,Log Y Scale
InterSpec.xml,app-mi-view-liny,,Linear Y Scale
InterSpec.xml,app-mi-view-show-vert,,Show Vertical Lines
InterSpec.xml,app-mi-view-hide-vert,,Hide Vertical Lines
InterSpec.xml,app-mi-view-show-horz,,Show Horizontal Lines
InterSpec.xml,app-mi-view-hide-horz,,Hide Horizontal Lines
InterSpec.xml,app-mi-view-compact-x,,Compact X-Axis
InterSpec.xml,app-mi-view-normal-x,,Normal X-Axis
InterSpec.xml,app-mi-view-show-leg,,Show Spectrum Legend
InterSpec.xml,app-mi-view-show-slider,,Show Energy Slider
InterSpec.xml,app-mi-view-hide-slider,,Hide Energy Slider
InterSpec.xml,app-mi-view-show-scaler,,Show Y-Axis Scalers
InterSpec.xml,app-mi-view-hide-scaler,,Hide Y-Axis Scalers
InterSpec.xml,app-mi-view-back-sub,,Background Subtract
InterSpec.xml,app-mi-view-back-unsub,,Un-Background Subtract
InterSpec.xml,app-mi-view-hard-sub,,Hard Background Sub...
InterSpec.xml,app-mi-view-map,,Map
InterSpec.xml,app-mi-tt-view-map,,Show measurement(s) location on a map. Only enabled when GPS coordinates are available.
InterSpec.xml,app-mi-view-3d,,Show 3D View
InterSpec.xml,app-mi-tt-view-3d,,Shows Time vs. Energy vs. Counts view for search mode or RPM data.
InterSpec.xml,app-mi-view-rid,,Show ID Results
InterSpec.xml,app-mi-tt-view-rid,,Shows the detectors ID analysis results included in the spectrum file.
InterSpec.xml,app-mi-view-img,,Show Images
InterSpec.xml,app-mi-tt-view-img,,Shows images included in the spectrum file.
InterSpec.xml,app-mi-view-feature-markers,,Feature Markers...
InterSpec.xml,app-mi-view-hide-feature-markers,,Hide Feature Markers
InterSpec.xml,app-mi-tt-view-feature-markers,,"Tool to show single/double escape peaks, Compton peak, Compton Edge, and sum peaks."
InterSpec.xml,app-mi-view-new-win,,New app window
InterSpec.xml,app-mi-view-webbrowser,,Use in external browser
InterSpec.xml,app-mi-view-full,,Toggle Full Screen
InterSpec.xml,app-mi-view-act-size,,Actual Size
InterSpec.xml,app-mi-view-zin,,Zoom In
InterSpec.xml,app-mi-view-zout,,Zoom Out
InterSpec.xml,app-mi-view-dev-tool,,Toggle Dev Tools
InterSpec.xml,app-mi-view-dets,,Detectors
InterSpec.xml,app-mi-view-peak-labels,,Peak Labels
InterSpec.xml,app-mi-view-lbl-usr,,Show User Labels
InterSpec.xml,app-mi-view-lbl-peak-en,,Show Peak Energies
InterSpec.xml,app-mi-view-lbl-nuc-nm,,Show Nuclide Names
InterSpec.xml,app-mi-view-lbl-nuc-en,,Show Nuclide Energies
InterSpec.xml,,, The Detectors sub-menu under View 
InterSpec.xml,app-mi-det-no-name,,Det. {1} ({2})
InterSpec.xml,app-mi-det-with-name,,Det. {1}
InterSpec.xml,,," Items in the ""Tools"" menu "
InterSpec.xml,app-mi-tools-act-fit,,Activity/Shielding Fit
InterSpec.xml,app-mi-tt-tools-act-fit,,"Tool to fit for the activity and shielding of nuclides in the spectrum.
    <br />
    Also contains capabilities to determine nuclide ages, contamination concentrations, or enrichments.
  "
InterSpec.xml,app-mi-tools-iso-by-nuc,,Isotopics by nuclides
InterSpec.xml,app-mi-tt-tools-iso-by-nuc,,"UNDER DEVELOPMENT.
    <br />
    Automatically fits nuclides peaks to allow determining the relative
    activities of nuclides.  Does not require knowing the detector
   response or shielding information.
  "
InterSpec.xml,app-mi-tools-iso-by-peak,,Isotopics from peaks
InterSpec.xml,app-mi-tt-tools-iso-by-peak,,Uses the peaks you have fit to determine the relative activities of nuclides.  Does not require knowing the detector response or shielding information. 
InterSpec.xml,app-mi-tools-xs-calc,,Gamma XS Calc
InterSpec.xml,app-mi-tt-tools-xs-calc,,"Allows user to determine the cross section for gammas of
    arbitrary energy though any material in <code>InterSpec</code>'s library. Efficiency estimates
    for detection of the gamma rays inside the full energy peak and the fraction of gamma rays that
    will make it through the material without interacting with it can be provided with the input of
    additional information.
  "
InterSpec.xml,app-mi-tools-dose-calc,,Dose Calc
InterSpec.xml,app-mi-tt-tools-dose-calc,,"Allows you to compute dose, activity, shielding,
    or distance, given the other pieces of information.
  "
InterSpec.xml,app-mi-tools-1r2,,1/r<sup>2</sup> Calculator
InterSpec.xml,app-mi-tt-tools-1r2,,Allows user to use two dose measurements taken at different distances from a source to determine the absolute distance to the source from the nearer measurement.
InterSpec.xml,app-mi-tools-unit,,Units Converter
InterSpec.xml,app-mi-tt-tools-unit,,Convert radiation-related units.
InterSpec.xml,app-mi-tools-flux,,Flux Tool
InterSpec.xml,app-mi-tt-tools-flux,,Converts detected peak counts to gammas emitted by the source.
InterSpec.xml,app-mi-tools-nuc-decay,,Nuclide Decay Info
InterSpec.xml,app-mi-tt-tools-nuc-decay,,"Allows user to obtain advanced information about activities, gamma/alpha/beta production rates, decay chain, and descendant nuclides."
InterSpec.xml,app-mi-tools-mda,,Detection Confidence Tool
InterSpec.xml,app-mi-tt-tools-mda,,Provides an upper activity estimate for nuclides
InterSpec.xml,app-mi-tools-select-drf,,Detector Response Select
InterSpec.xml,app-mi-tt-tools-select-drf,,Allows user to change the detector response function.
InterSpec.xml,app-mi-tools-make-drf,,Make Detector Response
InterSpec.xml,app-mi-tt-tools-make-drf,,Create detector response function from characterization data.
InterSpec.xml,app-mi-tools-file-par,,File Parameters
InterSpec.xml,app-mi-tt-tools-file-par,,"Allows user to view/edit the file parameters. If ever the application is unable to render activity calculation, use this tool to provide parameters the original file did not provide; <code>InterSpec</code> needs all parameters for activity calculation."
InterSpec.xml,app-mi-tools-en-sum,,Energy Range Sum
InterSpec.xml,app-mi-tt-tools-en-sum,,Sums the number of gammas in region of interest (ROI). Can also be accessed by left-click dragging over the ROI while holding both the <kbd><b>ALT</b></kbd> and <kbd><b>SHIFT</b></kbd> keys.
InterSpec.xml,app-mi-tools-query,,File Query Tool
InterSpec.xml,app-mi-tt-tools-query,,Searches through a directory (recursively) for spectrum files that match specified conditions.
InterSpec.xml,app-mi-tools-math,,Math/Command Terminal
InterSpec.xml,app-mi-tt-tools-math,,"Creates a terminal that provides numeric and algebraic computations, as well as allowing some text based interactions with the spectra."
InterSpec.xml,app-mi-tools-ext-rid,,External RID
InterSpec.xml,app-mi-tt-tools-ext-rid,,Uses a{1} remote URL to perform nuclide identification on your spectrum.
InterSpec.xml,,," This next sentence fragment _may_ get substituted into the previous message, where there is a {1} in it "
InterSpec.xml,app-mi-tt-tools-ext-rid-exe,, external program or
InterSpec.xml,,," Items in the ""Help"" menu "
InterSpec.xml,app-mi-help-welcome,,Welcome...
InterSpec.xml,app-mi-help-contents,,Help Contents...
InterSpec.xml,app-mi-help-notif-log,,Notification Log
InterSpec.xml,app-mi-help-opts,,Options
InterSpec.xml,app-mi-help-pref-auto-store,, Auto store your work
InterSpec.xml,app-mi-help-pref-check-prev,, Check for prev work
InterSpec.xml,app-mi-help-pref-show-tt,, Show tooltips
InterSpec.xml,app-mi-help-pref-prop-peak,, Ask to Propagate Peaks
InterSpec.xml,app-mi-help-pref-disp-bq,, Display in Becquerel
InterSpec.xml,app-mi-help-pref-def-drfs,, Use default DRFs
InterSpec.xml,app-mi-help-pref-desktop,, Desktop Interface
InterSpec.xml,app-mi-help-pref-auto-dark,," Auto apply ""Dark"" theme"
InterSpec.xml,app-mi-help-pref-theme,,Color Themes...
InterSpec.xml,app-mi-help-pref-prompt-prev,,Prompt to load prev state
InterSpec.xml,app-mi-help-pref-load-prev,,Load prev state on start
InterSpec.xml,app-mi-help-language,,Language
InterSpec.xml,app-mi-help-about,,About InterSpec...
InterSpec.xml,app-mi-tt-help-pref-auto-store,,"Automatically stores application state if you are working in
    a stored state, or else if you are not, it will store your spectra
    and your work (e.g., peaks fit, energy cal changes, etc) into
    InterSpecs internal database and prompt you if you want to resume
    where you left off next time you load the same spectrum.
  "
InterSpec.xml,app-mi-tt-help-pref-check-prev,," When a spectrum file is loaded, check if work (peak fits,
    activity fits, etc) has previously done on the same file.
  "
InterSpec.xml,app-mi-tt-help-pref-show-tt,,Show tooltips after hovering over an element for half a second.
InterSpec.xml,app-mi-tt-help-pref-prop-peak,,"When loading spectra from the same detector,
    ask if should re-fit the same peaks for the new spectrum.  Only applies if new spectrum doesnt have any peaks, but previous
    foreground did.
  "
InterSpec.xml,app-mi-tt-help-pref-disp-bq,,"Display activity in units of becquerel, rather than curie."
InterSpec.xml,app-mi-tt-help-def-drfs,,"When a spectrum is loaded, and you have not previously
    associated a detector response function with the model of
    detector the spectrum is from, whether a default DRF should try
    to be found and loaded automatically.
  "
InterSpec.xml,app-mi-tt-help-desktop,,"Selects to use either a more mobile or desktop style
    application interface.  The primary difference is use of a
    ""Hamburger"" style menu, or a menu bar.

    Changing this preference wont take effect until the app is
    restarted, or the ""Clear Session..."" option is chosen.
  "
InterSpec.xml,app-mi-tt-help-auto-dark,,"Applies the ""Dark"" color theme automatically according to
    the operating systems current value, or when it transitions.
  "
InterSpec.xml,app-mi-tt-help-pref-prompt-prev,,"At application start, ask to load previous state."
InterSpec.xml,app-mi-tt-help-pref-load-prev,,"At application start, automatically load previous state, if not set to be prompted."
InterSpec.xml,warn-desktop-disp-switch,,Changes will not take effect until app is restarted or refreshed.
InterSpec.xml,warn-desktop-disp-switch-refresh,,Refresh Session
InterSpec.xml,,," Menu item text for when you right-click on a peak. The ""_mi"" is menu item, and ""_tt"" is tool-tip "
InterSpec.xml,rclick-mi-peak-editor,,Peak Editor...
InterSpec.xml,rclick-mi-refit-peak,,Refit Peak
InterSpec.xml,rclick-mi-use-drf-fwhm,,Use DRF FWHM
InterSpec.xml,rclick-mi-tt-use-drf-fwhm,,"Fixes the peaks FWHM to what the detector response function predicts, and then refits the peak."
InterSpec.xml,rclick-mi-fix-mean,,Set mean to photopeak
InterSpec.xml,rclick-mi-tt-fix-mean,,"Fixes the peak centroid to the assigned gamma energy, or if no source has been assigned, to likely reference photopeak line.  After setting the centroid, the other peak parameters will be refit"
InterSpec.xml,rclick-mi-refit-roi,,Refit ROI
InterSpec.xml,rclick-mi-delete-peak,,Delete Peak
InterSpec.xml,rclick-mi-change-nuc,,Change Nuclide
InterSpec.xml,rclick-mi-change-cont,,Change Continuum
InterSpec.xml,rclick-mi-skew-type,,Change Skew Type
InterSpec.xml,rclick-mi-add-peak,,Add Peak
InterSpec.xml,rclick-mi-combine-cont-left,,Combine Cont. Left
InterSpec.xml,rclick-mi-combine-cont-right,,Combine Cont. Right
InterSpec.xml,rclick-mi-own-cont,,Own Continuum
InterSpec.xml,rclick-mi-calc-status,,...calculating...
InterSpec.xml,rclick-mi-fix-energy,,Fix to {1} keV
InterSpec.xml,rclick-mi-no-nuc-suggestions,,No Suggestions
InterSpec.xml,,," Error messages, the user probably wont see "
InterSpec.xml,err-save-sate-to-db,,I'm sorry there was a technical error saving your  user state to the database.
InterSpec.xml,err-no-roi-to-add-peak,,There was no ROI to add peak to.
InterSpec.xml,err-no-add-peak-to-data-roi,,"Sorry, cant add peaks to a ROI with a data defined peak."
InterSpec.xml,err-add-peak-no-improve,,Adding a peak did not improve overall ROI fit - not adding one.
InterSpec.xml,err-no-peak-to-del,,There was no peak to delete.
InterSpec.xml,err-no-foreground,,You must load a foreground spectrum before viewing a background or second foreground spectrum.
InterSpec.xml,err-invalid-language,,"The selected language, {1}, somehow isn't available."
InterSpec.xml,,, Messages for saving/updating/deleting from internal state DB 
InterSpec.xml,db-new-tag,,Created new tag '{1}' under snapshot '{2}'.
InterSpec.xml,db-new-snapshot,,Created new snapshot '{1}'.
InterSpec.xml,db-error-no-name,,You must specify a name
InterSpec.xml,db-name-empty-txt,,(Name to store under)
InterSpec.xml,db-dec-empty-txt,,(Optional description)
InterSpec.xml,db-dec-export-msg,,"
    This will save the current app state to the database - to export
    <br />
    as a separate file, use the ""Export File"" menu option
  "
InterSpec.xml,db-Tag,,Tag
InterSpec.xml,db-saved-state-msg,,Saved state '{1}'
InterSpec.xml,,," Peak continuum types, returned by `PeakContinuum::offset_type_label_tr(...)` in src/PeakDef.cpp "
InterSpec.xml,pct-none,,None
InterSpec.xml,pct-constant,,Constant
InterSpec.xml,pct-linear,,Linear
InterSpec.xml,pct-quadratic,,Quadratic
InterSpec.xml,pct-cubic,,Cubic
InterSpec.xml,pct-flat-step,,Flat Step
InterSpec.xml,pct-linear-step,,Linear Step
InterSpec.xml,pct-bilinear-step,,Bi-linear Step
InterSpec.xml,pct-global,,Global Cont.
InterSpec.xml,window-content-hard-back-sub,,"
    <div style=""text-align: left;"">
      <p>
        The normal background subtraction option only affects display of the data, with operations
        like peak-fitting or exporting data are done on the full-statistics original foreground
        spectrum.
      </p>
      <p>
        A ""hard background subtraction"" creates a modified foreground by doing a bin-by-bin
        subtraction of the background from the foreground.
      </p>

      Side effects of doing a hard background subtraction include:
      <ul style=""list-style-type: square; margin-top: 4px;"">
        <li>Variances, i.e. the statistical uncertainty of each channel, will no longer be correct.</li>
        <li>Small energy calibration differences between spectra may create artificial features in the data.</li>
        <li>
          If a peak in the foreground overlaps with a peak in the background, the statistical uncertainty of fit foreground peaks will no longer be correct
        </li>
      </ul>

      The primary reasons to choose a hard background subtraction over normal display background subtraction are:
      <ul style=""list-style-type: square; margin-top: 4px;"">
        <li>Avoiding artifacts on fit peak continuums.</li>
        <li>To simplify background peak subtraction in the <b>Activity/Shielding Fit</b> tool.</li>
        <li>You dont care about subtleties this causes (which in practice are minimal).</li>
      </ul>
    </div>
    <br />
    <div style=""text-align: center;""><b><em>Would you like to proceed?</em></b></div>
  "
InterSpec.xml,window-hard-back-sub-truncate,,Truncate negative bins at zero
InterSpec.xml,window-hard-back-sub-round,,Round channel counts to nearest integer
InterSpec.xml,info-user-default-drf,,Using the detector response function you specified to use as default for this detector.
InterSpec.xml,info-app-default-drf,,Have loaded a default detector response function for this detection system.
InterSpec.xml,info-recal-tab-selected,,You can also recalibrate graphically by right-clicking and dragging the spectrum to where you want.
InterSpec.xml,,, Toast message shown to user when they load a spectrum that has GPS coordinates 
InterSpec.xml,info-has-gps-txt,,File contains GPS coordinates.
InterSpec.xml,info-has-gps-btn,,Show on map
InterSpec.xml,,, Toast message shown to user when they load a spectrum that has results from the onboard-rid 
InterSpec.xml,info-has-rid-txt,,File contained on-board RID results
InterSpec.xml,info-has-rid-btn,,Show full ID results
InterSpec.xml,,, Toast message shown to user when they load a spectrum that has an embedded image 
InterSpec.xml,info-has-img-txt,,Spectrum file contained embedded images
InterSpec.xml,info-has-img-btn,,Show Images
InterSpec.xml,warn-no-energy-cal,,"Warning, no energy calibration for the selected samples"
InterSpec.xml,prompt-how-open,,"This file looks like it's from the same detector as the current foreground.
    <p>How would you like to open this spectrum file?</p>
  "
InterSpec.xml,,," Error message when the selected foreground cant be plotted (inexistent, no energy calibration, no gamma spectra selected, etc)"
InterSpec.xml,err-no-fore-sn,,"
    <p>The spectrum file didn't contain any spectra with the current sample numbers.</p>
    <p>Please select different/more sample numbers.</p>
  "
InterSpec.xml,err-no-fore-det-sn,,"
    <p>The spectrum file didn't contain any spectra with the current sample numbers and detector names. </p>
    <p>Please select more detectors or sample numbers.</p>
  "
InterSpec.xml,err-no-fore-all-neut,,"
    <p>The current sample numbers and detector names only contain neutron data.</p>
    <p>Please select samples that include spectroscopic data.</p>
  "
InterSpec.xml,err-no-fore-no-spec,,"
    <p>The current sample numbers and detector names do not include any spectroscopic measurements.</p>
    <p>Please select samples that include spectroscopic data.</p>
  "
InterSpec.xml,err-no-fore-no-ecal-1spec,,"
    <p>I couldn't determine binning to display the spectrum.</p>
  "
InterSpec.xml,err-no-fore-no-ecal-g1spec,,"
    <p>I couldn't determine binning to display the spectrum.</p>
    <p>
      You might try selecting only a single spectra to display in
      the <b>File manager</b>, or a sample with gamma counts.
    </p>
  "
InterSpec.xml,,, The detector display.  Defined here so we dont have to load a whole new XML file for just these few entries. 
InterSpec.xml,app-tt-det-disp,,"The currently selected detector.  Click to select a different detector, or modify this one."
InterSpec.xml,app-det-select-txt,,click to select
InterSpec.xml,app-det-select-txt-mobile,,tap to select
InterSpec.xml,app-default-manual-det-name,,User Defined Detector
InterSpec.xml,,," An incomplete list of possible languages - mapping the two letter code we receive as
    part of the locale, to their native name - mostly picked by LLM result.
    
    A more complete listing of languages and countries can be found in commit e28dbb39.

    You do not need to, and shouldnt, include these, or countries, into translations of this file.
  "
InterSpec.xml,lang-en,,English
InterSpec.xml,lang-fr,,Français
InterSpec.xml,lang-es,,Español
InterSpec.xml,lang-de,,Deutsch
InterSpec.xml,lang-ja,,日本語
InterSpec.xml,lang-zh,,中文
InterSpec.xml,lang-pt,,Português
InterSpec.xml,lang-ru,,Русский
InterSpec.xml,lang-it,,Italiano
InterSpec.xml,lang-ko,,한국어
InterSpec.xml,lang-vi,,Tiếng Việt
InterSpec.xml,lang-tr,,Türkçe
InterSpec.xml,,," An incomplete list of possible countries - mapping the two letter code we receive as part of
  the locale, to their names to display.
  "
